Name,Type1,Type2,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False
Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False
Venusaur,Grass,Poison,80,None,83,100,100,80,1,False
Charmander,Fire,None,39,52,43,60,50,65,1,False
Charmeleon,Fire,None,58,64,58,80,65,80,1,False
Charizard,Fire,Flying,78,84,78,109,85,100,1,False
Squirtle,Water,None,44,48,65,50,64,43,1,False
Wartortle,Water,None,59,63,80,65,80,58,1,False
Blastoise,Water,None,79,83,100,85,105,78,1,False
Pikachu,Electric,None,35,55,40,50,50,90,1,False
Raichu,Electric,None,60,90,55,90,80,110,1,False
Sandshrew,Ground,None,50,75,85,20,30,40,1,False
Paras,Bug,Grass,35,70,55,45,55,25,1,False
Parasect,Bug,Grass,60,95,80,60,80,30,1,False
Venomoth,Bug,Poison,70,65,60,90,75,90,1,False
Mewtwo,Psychic,None,106,110,90,154,90,130,1,True
Mew,Psychic,None,100,100,100,100,100,100,1,True
Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False
Dugtrio,Ground,None,35,100,50,50,70,120,1,False
